PCNA_I	fbe5d6
0	0
5	-1083.131767
10	-1717.36635
15	1663.9532
20	422.0145167
25	-291.839
30	-226.8009667
35	-1097.608117
40	-86.66855
45	-1050.444733
50	2293.2473
55	2765.5294
60	1977.098583
65	4585.1159
70	2305.59015
75	5478.518033
80	820.8571833
85	2916.54635
90	4235.74635
95	2318.486067
100	3310.8027
105	8006.150283
110	6375.01445
115	9334.233633
120	6205.45135
125	5905.094217
130	6846.49755
135	8628.875017
140	7715.757983
145	9259.425417
150	9753.4032
155	11707.0177
160	11021.95623
165	10239.36973
170	11215.3862
175	11933.1823
180	12117.83205
185	11623.12327
190	10665.05597
195	13114.1196
200	15494.45818
205	12868.19477
210	16513.04463
215	16644.18688
220	16063.24248
225	15797.80108
230	17259.85945
235	18965.79103
240	18956.36992
245	17551.57775
250	19466.2359
255	21815.96372
260	21222.64898
265	20575.13117
270	22356.68357
275	21510.03965
280	21474.69325
285	23209.1429
290	22588.2366
295	22414.01777
300	25623.76595
305	26205.19287
310	27031.60112
315	27303.41157
320	26386.39048
325	27667.29798
330	26171.17502
335	28309.54948
340	28199.61615
345	27777.54185
350	29955.95302
355	27659.78398
360	29313.96983
365	28712.4186
370	34032.4309
375	30138.48315
380	29635.2177
385	30414.39712
390	30977.04782
395	32343.95123
400	30388.4741
405	32611.04532
410	32912.5627
415	34685.3346
420	34292.82982
425	32173.91015
430	34039.49412
435	34346.10952
440	30684.57812
445	36637.60695
450	35467.0813
455	36341.56045
460	35483.37212
465	35746.58992
470	34926.6122
475	35530.56468
480	37043.18445
485	36783.98942
490	37760.9525
495	37019.86243
500	38824.35662
505	37103.22278
510	37401.61132
515	34593.79442
520	39490.7705
525	37254.12215
530	35865.76048
535	36498.6498
540	36613.10853
545	35945.2318
550	37187.17587
555	39252.5138
560	39255.20178
565	37437.61278
570	37288.18392
575	37825.23347
580	41132.61548
585	34625.48298
590	37442.79835
595	38842.59818
600	39885.38328
605	40451.61163
610	38694.85883
615	37898.36322
620	38472.20587
625	38659.65268
630	35257.83737
635	38581.57055
640	37942.48927
645	38227.3067
650	37905.97497
655	38603.6646
660	39314.51393
665	37505.79298
670	39775.35872
675	38131.323
680	40919.2499
685	41572.14425
690	37507.1068
695	36476.40303
700	38260.63407
705	38832.8314
710	39644.59415
715	38379.91117
720	38782.80068
725	36106.7556
730	37340.28977
735	36807.94553
740	39190.8514
745	35693.92675
750	37604.2992
755	38106.29645
760	34782.03003
765	38581.80515
770	39526.36482
775	38222.10895
780	36897.50947
785	40897.69078
790	36610.39647
795	36660.1855
800	38928.36517
805	35893.56738
810	38329.12253
815	37505.40425
820	37474.75098
825	37322.27373
830	33977.72603
835	37221.08662
840	38683.9828
845	35819.50008
850	37890.60668
855	37408.64592
860	38421.52433
865	35141.74862
870	36393.64873
875	36818.78218
880	36968.13625
885	35294.69167
890	37406.45433
895	35272.34177
900	35516.9797
905	35554.71517
910	37791.1683
915	37625.5832
920	36055.8457
925	35471.27548
930	39287.93358
935	35832.87993
940	34146.12747
945	33603.6637
950	36792.92632
955	35628.71815
960	38098.57193
965	35347.4744
970	36413.9864
975	33985.83758
980	33069.95153
985	34791.53785
990	33933.94452
995	33825.09862
1000	34549.60915
1005	32245.69973
1010	35276.21947
1015	31798.74338
1020	35490.27355
1025	35013.26063
1030	34469.87065
1035	35336.28132
1040	33747.75315
1045	32430.72773
1050	31880.05042
1055	34559.22945
1060	31320.96717
1065	33573.76523
1070	29571.05488
1075	30405.56703
1080	33562.29533
1085	31349.81362
1090	31099.81842
1095	32935.46652
1100	32777.47277
1105	31553.37077
1110	33563.4111
1115	29374.47482
1120	31572.28582
1125	31206.67843
1130	29547.95018
1135	30684.16842
1140	30864.86822
1145	29876.83615
1150	30585.43865
1155	29063.14787
1160	30524.63872
1165	29127.51412
1170	30193.58865
1175	30967.31957
1180	31510.60528
1185	27059.04478
1190	30980.97878
1195	30272.77323
1200	29874.5029
1205	28415.65243
1210	29157.54915
1215	29175.25238
1220	28078.05822
1225	30557.90318
1230	28099.2218
1235	30153.53042
1240	29983.26408
1245	28974.31352
1250	30909.57312
1255	29283.16612
1260	28395.67007
1265	29271.23523
1270	28462.89005
1275	28856.63442
1280	29772.38305
1285	27265.45623
1290	26746.69557
1295	27537.7373
1300	28137.14738
1305	29562.37383
1310	28704.30337
1315	27863.5168
1320	26977.81425
1325	25148.08498
1330	27922.45608
1335	28286.58418
1340	25160.02437
1345	28064.7509
1350	27964.29138
1355	26489.32775
1360	26451.95665
1365	28449.23848
1370	28908.4337
1375	25932.13802
1380	28442.79548
1385	29173.63483
1390	25349.66928
1395	25079.66282
1400	27692.27608
1405	23869.18603
1410	26216.15673
1415	28045.95485
1420	24489.1834
1425	27354.81078
1430	25645.8141
1435	27763.41117
1440	23793.35527
1445	26999.9049
1450	24421.66818
1455	25027.14387
1460	23931.93728
1465	25844.3741
1470	26194.02528
1475	24671.13808
1480	25393.3505
1485	25327.33043
1490	26915.72515
1495	25535.33252
1500	24471.69267
1505	25712.21638
