RPA1	ffc266
0	0
5	182.8683846
10	456.0221538
15	489.9002308
20	183.9890769
25	1304.355077
30	710.1443077
35	784.6092308
40	931.8266923
45	1296.480538
50	1431.730615
55	1152.843462
60	1351.203923
65	1491.562615
70	2264.970923
75	2243.703538
80	2203.764846
85	2775.486538
90	2734.963923
95	2563.911385
100	3331.535385
105	2732.701308
110	3221.157846
115	3556.916231
120	3717.440462
125	4453.870385
130	4757.996
135	4602.586462
140	3837.032615
145	6139.930077
150	5160.686615
155	5526.550462
160	5902.869769
165	5698.770615
170	7127.923231
175	6192.342385
180	7203.108692
185	7552.341769
190	8133.431769
195	8770.678231
200	9471.327
205	9239.710769
210	9816.148615
215	10163.69577
220	10298.52723
225	10944.36615
230	11302.17908
235	11414.39254
240	13095.65915
245	13434.02277
250	13490.19377
255	14073.93523
260	14858.82085
265	15777.80992
270	15803.917
275	16412.45862
280	17251.29954
285	17091.16669
290	18284.39077
295	17743.675
300	18948.42654
305	19162.64869
310	19950.72038
315	21542.25654
320	22055.48008
325	22610.77069
330	22677.60492
335	22900.23331
340	23160.33738
345	23520.72292
350	25434.66615
355	25337.91585
360	25220.69731
365	26053.80377
370	27251.10908
375	28349.50123
380	27501.23654
385	28445.41938
390	29498.76938
395	28899.133
400	30283.132
405	30784.67223
410	31168.64262
415	31405.52638
420	32148.653
425	33176.26877
430	33410.69038
435	34567.99631
440	35295.81708
445	35282.53154
450	36790.12892
455	35973.85315
460	35780.46769
465	38327.234
470	39891.84838
475	39704.87446
480	39384.09031
485	39561.53277
490	41471.53115
495	40990.03362
500	41813.65354
505	42303.35977
510	42489.89892
515	44530.26408
520	45165.66769
525	45081.90931
530	44461.10377
535	45672.805
540	46111.97762
545	46788.45185
550	48096.55262
555	48288.88
560	48844.01046
565	49059.45138
570	47874.46615
575	50988.12938
580	48970.17638
585	51080.36485
590	51392.87162
595	51712.74977
600	53154.89931
605	53720.53031
610	53165.53785
615	52807.06769
620	55128.81
625	55783.29162
630	54625.30615
635	55002.22223
640	56531.40738
645	55740.54369
650	57701.00908
655	56698.41331
660	57627.38546
665	58531.35262
670	58501.78315
675	58388.56108
680	59055.15008
685	58884.60377
690	60673.14538
695	60917.83223
700	62904.98477
705	62100.82408
710	64043.36138
715	63007.04262
720	63654.00992
725	63827.702
730	63204.46277
735	63562.03354
740	65087.47831
745	66305.12415
750	65332.44338
755	65598.45077
760	64914.71277
765	66450.444
770	66143.93854
775	67732.85769
780	66066.54977
785	67368.81262
790	68085.71023
795	68751.84638
800	69826.71254
805	68993.113
810	70829.84369
815	70549.11846
820	71502.86638
825	71735.10646
830	70823.90762
835	71376.22477
840	71289.80362
845	72600.595
850	72975.194
855	71972.62938
860	72771.24231
