Ligase4	b7b5dc
0	0
5	224.7651111
10	401.0231111
15	504.2835833
20	627.3311111
25	746.46625
30	928.3465278
35	991.3505278
40	1049.645806
45	1084.457944
50	1166.547639
55	1278.168306
60	1229.811222
65	1393.253889
70	1363.167444
75	1283.206806
80	1346.049083
85	1472.66175
90	1425.707361
95	1417.715472
100	1502.3495
105	1584.777111
110	1499.573917
115	1503.570139
120	1535.637667
125	1529.032361
130	1568.440889
135	1480.826583
140	1539.580194
145	1602.109028
150	1554.694667
155	1526.581222
160	1526.239778
165	1541.637028
170	1524.855
175	1525.170389
180	1515.422972
185	1435.53975
190	1368.004694
195	1483.027444
200	1554.797111
205	1540.119389
210	1607.749861
215	1492.798167
220	1519.245028
225	1499.282028
230	1581.039333
235	1378.466833
240	1507.791806
245	1510.784194
250	1501.755167
255	1512.6875
260	1505.215694
265	1420.645111
270	1496.802417
275	1365.975333
280	1434.050417
285	1412.633694
290	1406.994222
295	1403.401278
300	1402.354083
305	1377.440472
310	1424.069694
315	1337.819417
320	1460.2665
325	1293.50075
330	1199.722333
335	1241.941222
340	1283.68275
345	1217.892583
350	1242.048056
355	1185.607306
360	1187.620333
365	1213.153083
370	1102.978611
375	1088.025639
380	1209.419611
385	1119.044306
390	1066.773639
395	1180.946444
400	1023.938389
405	1051.266
410	1065.424694
415	1092.888167
420	978.66775
425	1026.225611
430	1057.217083
435	1005.959944
440	1027.597639
445	932.2866667
450	816.18925
455	886.8441111
460	945.8182778
465	928.4767222
470	857.3185
475	815.8012222
480	926.2010556
485	828.9066944
490	743.8815833
495	816.8224444
500	818.5718056
505	839.8408056
510	807.8830556
515	680.8498333
520	714.0272222
525	680.4844722
530	779.4576389
535	669.6844444
540	736.3252222
545	609.6255278
550	750.5803889
555	690.6862778
560	656.8474167
565	701.0301667
570	683.41125
575	618.0500278
580	653.03075
585	639.4078611
590	687.7691389
595	649.4211944
600	728.9485
605	688.34575
610	548.1260556
615	646.3027778
620	506.2785278
625	528.473
630	589.8160833
635	535.17025
640	517.6640556
645	546.9476111
650	564.7968611
655	524.15675
660	597.2671944
