Ligase4_I	33cc33
0	0
5	85.3181
10	90.1295
15	60.44333333
20	93.3591
25	156.7788
30	155.2195
35	308.5125
40	219.6509333
45	251.0190333
50	111.5424333
55	215.0837333
60	335.5582333
65	237.091
70	265.7579667
75	279.4217333
80	276.6408667
85	329.2927333
90	463.3146
95	313.8998667
100	322.6912333
105	328.1412
110	402.9517667
115	428.1466333
120	435.5718
125	338.8774667
130	526.7301667
135	470.9108667
140	479.0536
145	458.5001667
150	482.7910667
155	431.8620333
160	367.5769
165	518.3925
170	581.6746333
175	454.8371333
180	660.3592667
185	532.4186333
190	365.6804
195	639.6922
200	572.9138667
205	490.3081333
210	479.0451667
215	581.0388333
220	626.1628333
225	683.5755667
230	581.0849
235	541.1049333
240	610.7714
245	594.9777667
250	592.3399333
255	658.3191
260	593.3272667
265	637.1954333
270	640.0879
275	693.2415333
280	600.0305
285	770.1288667
290	640.2075333
295	755.5034
300	718.0141333
305	556.9604
310	725.9556333
315	612.7398
320	652.4485333
325	712.4513667
330	534.1711667
335	604.6322
340	702.3008
345	749.4022
350	810.8331667
355	632.2893333
360	725.7703
365	607.5487667
370	650.1223333
375	671.001
380	679.5664333
385	551.0703667
390	624.6389667
395	684.0398667
400	614.0091667
405	565.8178667
410	602.9095
415	742.9428333
420	662.7144333
425	760.0940667
430	722.235
435	699.9040333
440	707.6885333
445	657.3248667
450	685.9775
455	615.8982
460	593.7004667
465	584.6661333
470	684.9468667
475	655.8961
480	653.2303667
485	726.1088333
490	644.2859
495	592.9997333
500	619.7914
505	730.8828
510	595.1455333
515	612.4603333
520	531.7413667
525	577.8352333
530	663.7112667
535	583.2410667
540	589.0095667
545	539.4568667
550	576.3844333
555	598.1046667
560	488.1528667
565	617.5907667
570	483.1244667
575	642.1299667
580	666.5721
585	583.4355333
590	624.4760333
595	624.8711333
600	553.026
605	580.8855333
610	584.2827
615	633.0941333
620	426.6836333
625	646.5757
630	461.9169
635	526.305
640	559.5205667
645	511.2819333
650	579.6663
655	566.2362333
660	533.8717333
665	585.7332
670	471.2137667
675	569.393
680	605.4614333
685	535.3986667
690	466.4384
695	487.8361333
700	455.4433333
705	473.0785667
710	549.3237667
715	441.263
720	575.0169333
725	419.0273667
730	510.4599333
735	453.1697
740	562.9599333
745	453.4672667
750	488.4784333
755	531.838
760	423.9057
765	497.1582667
770	380.988
775	524.9057
780	462.7541667
785	411.9644667
790	542.2964
795	514.4456667
800	478.4133333
805	456.6889667
810	459.3433333
815	460.4474333
820	449.2945667
825	406.8068
830	495.7876667
835	408.3506333
840	436.9828
845	366.6046333
850	454.1002
855	494.6781667
860	380.3291
865	570.3154333
870	506.0231
875	480.3222333
880	414.5781667
885	458.7056333
890	429.6445333
895	395.9332333
900	465.4819
905	340.6764333
910	475.0164667
915	456.4201
920	404.9038
925	299.6245667
930	371.5006333
935	417.0415
940	423.1143
945	351.8660333
950	400.7619667
955	386.3989667
960	591.1926
965	335.4428333
970	400.3016333
975	266.5772
980	377.1973667
985	434.9340667
990	334.3622333
995	413.1083333
1000	384.2564333
1005	380.2525333
1010	322.8880667
1015	366.7980333
1020	423.4760333
1025	264.8576
1030	301.2230333
1035	373.5772667
1040	330.9898667
1045	313.1315333
1050	340.3896
1055	367.9691333
1060	448.7229
1065	321.2081667
1070	330.5641
1075	308.8122
1080	274.1847667
1085	284.3642333
1090	383.4872667
1095	266.8064667
1100	299.0804667
1105	320.0335
1110	376.1033667
1115	271.4654667
1120	228.8208333
1125	227.3417333
1130	272.0167333
1135	290.2904
1140	282.8784
1145	262.9891667
1150	303.6144667
1155	308.1022333
1160	234.2337333
1165	333.219
1170	237.3572667
1175	415.6145
1180	220.9797333
1185	376.7851
1190	316.0701667
1195	264.0120667
1200	349.4724
1205	275.8488
1210	247.6102
1215	219.7408333
1220	272.171
1225	290.7606333
1230	231.3537
1235	230.0801
1240	278.2654667
1245	340.8408
1250	413.4925667
1255	345.8724333
1260	273.9701
1265	335.1746
1270	326.9402667
1275	301.5390667
1280	322.2954667
1285	305.6504333
1290	230.3097333
1295	253.3064667
1300	216.5175667
1305	354.3324667
1310	255.6070333
1315	287.8308
1320	336.7612667
1325	268.1962333
1330	282.5114667
1335	344.1184333
1340	204.3276667
1345	157.6029333
1350	240.56
1355	298.5963333
1360	220.9778333
1365	288.2662
1370	300.4014667
1375	251.5497667
1380	268.4748333
1385	235.8898
1390	345.3383333
1395	338.392
1400	203.8113
1405	291.0382
1410	175.1213333
1415	272.1226
1420	301.8353667
1425	410.9672333
1430	209.2924
1435	204.5622
1440	247.4621
1445	269.5864667
1450	173.6083
1455	220.4194667
1460	154.4367333
1465	260.4802
1470	114.5327667
1475	195.4342
1480	250.7303667
1485	278.4433667
1490	251.8922333
1495	199.9317
1500	171.7037
1505	226.5186333
1510	136.9564
1515	252.4833333
1520	201.3237667
1525	180.9160667
1530	182.6723333
1535	201.9055
1540	240.62
1545	287.3537
1550	242.9383333
1555	275.1921667
1560	212.3888667
1565	198.4735
1570	258.9088667
1575	265.6788667
1580	120.1628333
1585	287.6303
1590	211.5876333
1595	252.3091667
1600	181.0617
1605	242.6793333
1610	201.1554
1615	186.065
1620	135.8838
1625	268.9611333
1630	185.5764333
1635	191.4613333
1640	224.6786667
1645	170.2425
1650	267.5432333
1655	179.0826
1660	184.6925333
1665	157.2869333
1670	238.5442333
1675	207.4504667
1680	179.8817333
1685	64.95646667
1690	145.1844667
1695	142.5382333
1700	84.0343
1705	124.0964333
1710	134.5483
1715	48.5362
1720	102.5869333
1725	120.4632667
1730	189.6316
1735	154.0976
1740	226.1198
1745	106.3456333
1750	224.5297333
1755	199.4577667
1760	166.1755
1765	177.9706667
1770	190.5210667
1775	55.36076667
1780	169.8970667
1785	145.8704333
1790	227.2137667
1795	144.6064
1800	115.8476333
1805	78.5949
1810	178.4197
1815	176.8979333
1820	168.4291667
1825	208.7044
1830	202.9585
1835	225.5865
1840	192.9278667
1845	154.4473
1850	108.4299333
1855	138.6534667
1860	141.9460333
1865	154.8380667
1870	63.9183
1875	151.3729667
1880	75.64466667
1885	94.56163333
1890	153.8596667
1895	99.65646667
1900	144.8928
1905	224.9134
1910	152.6102333
1915	144.9342667
1920	112.4264333
1925	84.62663333
1930	-39.4089
1935	141.2264
1940	171.9522
1945	157.8773667
1950	185.2213333
1955	113.2460667
1960	125.4041667
1965	201.9999667
1970	76.7706
1975	95.95313333
1980	120.2349333
1985	166.3111667
1990	105.1078
1995	108.8150667
2000	78.9787
2005	202.8408667
2010	18.8498
2015	105.2125
2020	136.3005
2025	63.58756667
2030	35.18386667
2035	91.45036667
2040	141.6034333
2045	111.8037
2050	147.5381667
2055	78.53056667
2060	78.92743333
2065	135.3469
2070	156.3231333
2075	108.9288
2080	74.98086667
2085	-5.579966667
2090	148.1567333
2095	113.2315667
2100	66.21033333
2105	118.1284333
2110	28.9348
2115	57.13246667
2120	75.47133333
2125	110.9731
2130	101.2909667
2135	168.2417
2140	74.68163333
2145	88.1367
2150	137.2872667
2155	70.20863333
2160	86.28393333
2165	142.6954667
2170	134.1171667
2175	105.9603
2180	51.71653333
2185	104.6594
2190	-25.31616667
2195	119.3934
2200	164.6208667
2205	96.4459
2210	1.877733333
2215	90.66776667
2220	81.6584
2225	56.16516667
2230	69.9017
2235	164.2401
2240	130.6467333
2245	154.7882667
2250	27.37173333
2255	98.0357
2260	8.235766667
2265	41.2913
2270	76.17466667
2275	61.63886667
2280	41.49796667
2285	-7.5914
2290	4.689266667
2295	117.4636333
2300	77.72596667
2305	93.09773333
2310	84.79563333
2315	15.10076667
2320	82.91056667
2325	133.9537667
2330	98.5405
2335	46.3756
2340	72.29513333
2345	19.8096
2350	112.3186667
2355	8.6006
2360	8.0639
2365	-11.88853333
2370	185.5757333
2375	-24.3983
2380	87.33603333
2385	-41.67706667
2390	51.33256667
2395	4.923
2400	99.4612
2405	-27.44876667
2410	-33.63306667
2415	70.00163333
2420	118.4422
2425	48.35206667
2430	56.3693
2435	87.13383333
2440	81.77333333
2445	88.28823333
2450	98.56653333
2455	55.45726667
2460	52.53813333
2465	1.9568
2470	38.75733333
2475	-44.21623333
2480	81.00823333
2485	9.981533333
2490	32.64266667
2495	-87.8167
2500	88.0924
2505	49.03926667
2510	-19.54353333
2515	-23.04696667
2520	83.65863333
2525	29.8673
2530	-34.0691
2535	61.67306667
2540	44.12776667
2545	153.6388333
2550	11.26376667
2555	85.04713333
2560	-51.52073333
2565	38.9654
2570	80.76756667
2575	60.17743333
2580	13.82506667
2585	94.40673333
2590	154.8263
2595	73.39303333
2600	-47.79906667
2605	104.7136333
2610	68.18813333
2615	51.5354
2620	27.01053333
2625	-64.90126667
2630	71.4471
2635	16.6604
2640	69.43923333
2645	-41.4214
2650	98.79633333
2655	-6.473566667
2660	86.04836667
2665	42.1899
2670	98.5934
2675	74.95263333
2680	102.4867333
2685	19.16833333
2690	-83.6679
2695	-2.9104
2700	56.4371
2705	82.60496667
2710	31.5327
2715	-30.19596667
2720	40.08963333
2725	43.1437
2730	20.9487
2735	48.26513333
2740	41.909
