PCNA_I	fbe5d6
0	0
5	-130.34325
10	100.1467167
15	-319.0954542
20	-423.3504333
25	460.173425
30	1046.551308
35	1031.376046
40	1066.204796
45	1651.619629
50	1634.795863
55	1692.791575
60	1639.882263
65	2096.179404
70	2329.153213
75	3309.945263
80	2390.614021
85	3469.035583
90	3571.927446
95	3987.168171
100	3800.69255
105	4841.400958
110	4259.556054
115	4629.562188
120	5376.619325
125	5532.43495
130	5112.872542
135	6213.214613
140	6760.500004
145	6685.266433
150	6625.12695
155	6965.937
160	6919.4029
165	7616.866221
170	8184.650567
175	8415.961846
180	8351.127883
185	9063.336013
190	9583.7993
195	9970.637063
200	10037.35994
205	10352.39523
210	10960.27846
215	11145.1468
220	11518.18602
225	11768.77254
230	11936.91394
235	12862.99518
240	12799.16811
245	12912.60939
250	13231.03512
255	13981.23903
260	14319.38957
265	15217.79112
270	14252.37521
275	14975.68937
280	14999.99356
285	15964.07773
290	16024.30455
295	16474.53545
300	16712.00385
305	16908.91485
310	16336.98888
315	17055.4433
320	16911.45876
325	17779.68772
330	18548.23448
335	18421.06938
340	18066.81637
345	19073.97153
350	19447.04028
355	18460.60954
360	18793.62261
365	18924.18438
370	19337.84043
375	19594.5463
380	19700.67893
385	19752.51895
390	20177.07588
395	19907.86048
400	20500.76566
405	20602.81652
410	20321.07233
415	20628.59553
420	20720.69374
425	21718.06235
430	21185.10973
435	21785.46735
440	22018.62079
445	22247.00105
450	21735.26259
455	21589.04878
460	22392.52637
465	21287.36735
470	21830.66914
475	22001.52382
480	22109.85646
485	21473.60291
490	22629.19173
495	22484.94821
500	22557.8105
505	23121.05209
510	22518.88071
515	22414.76428
520	22977.4691
525	22649.57919
530	22193.67425
535	23169.4382
540	22470.08341
545	22857.60245
550	22999.6604
555	22793.47491
560	22131.08117
565	22116.93951
570	22079.1541
575	22457.45149
580	23262.49237
585	22947.94881
590	22930.10086
595	22516.70627
600	22398.61357
605	22132.29015
610	22387.61811
615	22446.06553
620	22905.19275
625	22156.14909
630	22019.61727
635	23230.81925
640	23212.07214
645	22424.75943
650	21762.84658
655	22314.92151
660	22480.87693
665	22054.25838
670	21949.15539
675	21854.17171
680	21602.60075
685	22590.04462
690	21901.06232
695	21591.73124
700	21754.76053
705	22799.51076
710	21898.46939
715	21009.66895
720	21917.93007
725	20513.48074
730	21994.49942
735	21398.89266
740	21436.15227
745	21030.83671
750	21538.82688
755	21361.11668
760	21083.19196
765	20322.74917
770	21012.50674
775	20915.99314
780	19628.50586
785	20355.98473
790	19278.35905
795	19895.1425
800	20641.9843
805	19366.85107
810	20109.0552
815	20026.11865
820	20024.30043
825	20274.44685
830	20329.86728
835	19802.60527
840	19885.52248
845	20136.31484
850	19767.80216
855	19747.80138
860	19487.73913
865	19943.17898
870	19466.88757
875	20065.09865
880	19661.54947
885	18773.24719
890	18886.91146
895	19810.3023
900	18844.2761
905	18803.70043
910	18715.94508
915	18537.2255
920	18361.39797
925	17684.75136
930	18163.57527
935	17725.19946
940	17788.99975
945	17859.45349
950	17834.57073
955	17649.79582
960	18209.86238
965	17256.82467
970	17745.8194
975	17826.7457
980	17793.10362
985	17593.40434
990	17463.90018
995	17222.37417
1000	17200.71064
1005	17008.40962
1010	17505.66479
1015	17637.64663
1020	17285.90359
