PCNA	f4b183
0	0
5	3471.478802
10	7507.813771
15	12802.00737
20	16617.17954
25	22688.79205
30	27104.26645
35	31945.07435
40	38091.7604
45	42158.20473
50	46682.07314
55	50870.71571
60	55358.15016
65	59122.25227
70	61667.6288
75	66960.93243
80	68128.96961
85	72148.23469
90	73208.95335
95	76868.92072
100	80826.44074
105	83388.86679
110	84929.48884
115	87777.21622
120	91086.44076
125	94206.95946
130	93739.51099
135	96116.43252
140	96597.50773
145	98555.51968
150	100609.3883
155	100591.8243
160	102849.3372
165	102896.336
170	104297.5602
175	104634.3715
180	104518.6699
185	106056.7429
190	106372.8563
195	106129.9123
200	106739.4023
205	107024.5012
210	107876.036
215	107590.4268
220	108430.0901
225	108500.5576
230	108712.8241
235	109070.4257
240	108477.0995
245	108691.9259
250	109592.8797
255	109716.2397
260	109574.8098
265	108972.1565
270	107792.6435
275	107181.8071
280	108102.0524
285	106737.2575
290	107288.5649
295	106036.0528
300	104519.166
305	103712.4334
310	104362.8546
315	103471.4405
320	102924.7479
325	103316.8254
330	102671.4677
335	102028.1007
340	100977.4154
345	100626.1622
350	99492.54445
355	98538.75614
360	97797.26455
365	97464.65553
370	97152.29954
375	95997.12746
380	94177.65571
385	94494.31518
390	93958.86914
395	94360.0977
400	92259.30813
405	92374.77809
410	91890.83614
415	89667.62483
420	90266.15487
425	89145.25043
430	88956.94869
435	88248.46176
440	87501.25043
445	86436.07234
450	85578.52794
455	85912.50239
460	84962.99867
465	84958.63227
470	83376.98692
475	83438.3584
480	82390.02005
485	82329.27356
490	81013.75901
495	80917.0551
500	80068.80439
505	78667.89779
510	76777.23848
515	76067.58475
520	76531.19884
525	74233.66029
530	74355.18697
535	75283.74303
540	73948.64012
545	73612.85824
550	74266.86436
555	72275.15728
560	72502.12476
565	70618.31462
570	71928.79787
575	70294.29863
580	69980.6579
585	69077.03358
590	70633.64319
595	68794.24272
600	68179.42237
605	68299.4406
610	66419.84233
615	66458.17538
620	65965.38894
625	64734.12227
630	64220.32997
635	63659.52476
640	64361.69636
645	63550.60104
650	62612.57468
655	61976.96269
660	60829.65282
665	60509.69416
670	60015.44543
675	60209.1759
680	60422.91536
685	59286.0638
690	58895.55538
695	57167.05842
700	57526.55559
705	58246.13915
710	57781.74253
715	57743.20713
720	56832.52528
725	56928.31538
730	55019.02454
735	55333.69307
740	54227.82512
745	55112.80274
750	55775.14192
755	53606.62127
760	53879.06115
765	53561.85839
770	52400.66565
775	52724.50698
780	53036.36407
785	52199.24953
790	52302.41427
795	52174.7621
800	51230.8489
805	50063.49609
810	49566.19273
815	50480.88316
820	49284.07844
825	48743.20921
830	48429.21201
835	49111.78704
840	49022.77911
845	48721.42531
850	48875.50475
855	47121.77229
860	47099.29239
865	46950.72856
870	46783.2559
