BARD1 a400ff
0 0
5 159.0797256
10 177.5694887
15 406.6253652
20 303.00693
25 850.2550317
30 623.9185765
35 673.6389078
40 1178.291265
45 1354.931339
50 1357.882358
55 1916.75571
60 1929.822485
65 2343.399296
70 2393.445043
75 2997.983526
80 3169.43863
85 3527.176183
90 3783.716608
95 3872.017043
100 4379.067304
105 4622.275739
110 5212.987565
115 5099.813043
120 5881.458435
125 6459.552478
130 6600.795609
135 7165.394043
140 7287.024174
145 8033.472
150 8444.526652
155 8913.474957
160 9345.726652
165 9224.059217
170 9814.032087
175 9991.738957
180 10294.2327
185 10933.35852
190 11385.94861
195 11711.37917
200 12575.63765
205 12512.74365
210 12684.75309
215 13750.80135
220 13966.60391
225 14049.27091
230 14114.40443
235 15005.3457
240 14650.80478
245 14905.67761
250 15310.21387
255 15712.98096
260 16043.37317
265 16372.98348
270 16326.81943
275 17121.42857
280 17384.23513
285 17589.13396
290 17156.11357
295 18112.93183
300 18120.77604
305 18407.50957
310 18559.53874
315 18714.75348
320 19013.09078
325 18797.22439
330 19582.47409
335 20279.449
340 20030.51174
345 20569.93974
350 20142.1717
355 20815.88196
360 20852.4297
365 20871.13552
370 21271.07457
375 21339.15278
380 21320.73796
385 21576.91891
390 21652.36109
395 22390.2127
400 21608.72113
405 21854.23674
410 22429.48957
415 22844.00304
420 22147.12487
425 22695.17539
430 22652.4823
435 23352.79596
440 23463.82809
445 22952.19091
450 23359.86087
455 23329.93648
460 23592.81004
465 23529.72174
470 23665.83957
475 24167.06087
480 23893.67217
485 24212.27217
490 24259.24087
495 24461.02913
500 24794.78043
505 24671.83783
510 24694.8013
515 24659.59043
520 24827.7887
525 25357.65043
530 24860.61174
535 24952.63957
540 25153.24522
545 25507.36913
550 25858.46913
555 25842.48435
560 25224.80539
565 25838.74739
570 25913.86696
575 25595.32957
580 25009.68435
585 25408.0913
590 24736.22174
595 25491.89652
600 26295.30043
605 26476.20783
610 26234.55265
615 26373.62435
620 25994.20804
625 26115.28913
630 26433.8187
635 25970.74122
640 26978.88043
645 26333.50783
650 27057.45826
655 27154.64217
660 27094.39217
665 26214.4313
670 26491.3213
675 26748.76261
680 26899.64
685 27201.06304
690 26582.87739
695 26660.54957
700 26920.58174
705 27070.54739
710 26671.38478
715 27110.58
720 27077.84
725 27049.7417
730 26636.14783
735 26797.29139
740 27356.88957
745 27041.69087
750 27478.02348
755 27076.83839
760 27704.92348
765 27579.25957
770 27873.03
775 27680.2913
780 27233.9813
785 27462.60148
790 27374.23087
795 27781.00391
800 27791.74087
805 27701.27261
810 27545.82565
815 27436.56696
820 27538.74522
825 28126.89391
830 27631.66652
835 27166.05783
840 27164.68843
845 27580.61478
850 26978.56696
855 27420.36609
860 27504.96304
865 27681.50348
870 27605.25761
875 27795.60652
880 27718.95652
885 27912.89322
890 27969.66483
895 27636.79139
900 27613.77174
905 27633.7813
910 27594.45074
915 28142.02652
920 27884.00996
925 27850.74313
930 27899.42417
935 27987.16348
940 27064.33613
945 27411.064
950 28147.08474
955 27794.65522
960 27831.0083
965 27549.41043
970 27469.28052
975 27982.20478
980 27551.03648
985 27468.84522
990 27594.15
995 27942.608
1000 27948.28583
1005 27431.74435
1010 27975.44652
1015 28008.33304
1020 28504.75565
1025 28034.79957
1030 27813.15826
1035 27960.26826
1040 27880.05391
1045 27800.53187
1050 28142.64
1055 27600.03304
1060 27943.76443
1065 27687.74739
1070 28062.31052
1075 28241.8713
1080 27830.68261
1085 28344.17578
1090 27901.97117
1095 28002.01361
1100 28082.24704
1105 28397.09739
1110 28296.6287
1115 27891.86396
1120 27703.11096
1125 27572.37435
1130 28441.23087
1135 28173.67217
1140 27420.24283
1145 27777.57783
1150 28127.56217
1155 27553.73652
1160 28085.41565
1165 27901.61
1170 27980.88783
1175 28110.66978
1180 27892.28283
1185 28139.51178
1190 27495.54043
1195 27314.60739
1200 27935.92965
1205 27966.10348
1210 27831.20909
1215 27829.15661
1220 28093.54904
1225 27393.57948
1230 27680.27448
1235 27443.80035
1240 27535.51387
1245 27646.78722
1250 28224.53852
1255 27487.96465
1260 27549.61613
1265 27670.8693
1270 27465.13217
1275 27873.88435
1280 27294.19709
1285 27485.9463
1290 27499.43752
1295 27537.54391
1300 27428.41926
1305 27734.25913
1310 27421.48478
1315 27755.758
1320 27752.01248
1325 27990.95083
1330 27600.27696
1335 27513.15043
1340 27486.03126
1345 28042.5263
1350 27862.27087
1355 27954.53478
1360 27397.86104
1365 27189.60043
1370 27608.90739
1375 27812.24348
1380 27553.64217
1385 27295.34826
1390 27188.93565
1395 27538.69609
1400 27436.91739
1405 26896.1623
1410 27056.32217
1415 27150.78783
1420 27550.6513
1425 27526.59648
1430 27426.99665
1435 27076.55448
1440 27436.71348
1445 27334.44526
1450 27631.39783
1455 27364.72809
1460 27901.87478
1465 27613.39913
1470 27583.26304
1475 27632.39574
1480 27564.89122
1485 27455.44043
1490 28004.50065
1495 28086.73913
1500 28042.42226
1505 27797.24043
1510 28415.84109
1515 27811.93596
1520 28062.23696
1525 28127.07683
1530 27862.13348
1535 28130.72491
1540 27825.76443
1545 27874.65974
1550 28704.572
1555 28041.26957
1560 27562.98143
1565 28142.22609
1570 28255.23839
1575 28086.09226
1580 27778.12209
1585 27280.57565
1590 27408.49722
1595 27761.71478
1600 27538.69222
1605 27011.10804
1610 27917.00752
1615 27741.96035
1620 27533.91922
1625 27821.18561
1630 27934.00874
1635 28416.44187
1640 28102.55004
1645 28127.07583
1650 27434.43835
1655 27406.25217
1660 27424.00478
1665 27487.84039
1670 27040.39474
1675 27275.54691
1680 27702.22809
1685 27695.92913
1690 27560.15422
1695 27154.70235
1700 27228.54713
1705 27750.69078
1710 27106.14261
1715 26920.04596
1720 26761.72913
1725 27070.61204
1730 27096.44417
1735 26817.7863
1740 27341.18191
1745 26761.15861
1750 27229.20209
1755 27013.21235
1760 27499.93778
1765 27440.69317
1770 27482.38161
1775 27568.9773
1780 27332.00683
1785 27130.09222
1790 27073.25878
1795 26997.49409
1800 27175.738
1805 27138.0553
1810 27464.31926
1815 27327.63443
1820 27569.013
1825 27246.10039
1830 27598.82826
1835 27101.76757
1840 27571.61191
1845 27285.17522
1850 26775.99504
1855 26961.54974
1860 27114.28913
1865 27315.67548
1870 26500.61326
1875 26996.12717
1880 26890.98535
1885 26919.05674
1890 27012.47913
1895 26828.90465
1900 27058.28704
1905 27006.93343
