BARD1_I 00e4ff
0 0
5 380.8353025
10 920.6700643
15 957.5483445
20 923.7278752
25 1050.430705
30 1163.319481
35 1464.1746
40 1549.405071
45 1757.950238
50 1713.473729
55 2358.225844
60 2415.307568
65 2445.008938
70 2987.899952
75 3219.30381
80 3234.5029
85 3419.010638
90 3808.112748
95 3911.669257
100 4406.917881
105 4470.262429
110 4769.044333
115 4796.695762
120 5693.448095
125 6060.593571
130 5580.895762
135 6153.864714
140 6553.442333
145 6903.497333
150 7284.282762
155 7884.831333
160 7828.919286
165 8135.073476
170 7729.99081
175 8530.818048
180 9286.942905
185 9150.791762
190 9314.895714
195 9851.21019
200 10479.51433
205 10490.60152
210 11013.33857
215 10710.05543
220 11550.46633
225 11810.69443
230 11726.01548
235 11961.95057
240 12164.5141
245 12747.51976
250 13354.27629
255 13296.10957
260 13306.26348
265 13144.84962
270 13493.5311
275 14422.0691
280 14036.77719
285 14350.97171
290 14948.07486
295 15202.2959
300 15155.17852
305 15647.03076
310 16071.95152
315 16329.7599
320 16876.35914
325 16754.85843
330 16772.28495
335 16749.26138
340 17109.45033
345 17022.9769
350 17706.0381
355 17703.0639
360 17933.27667
365 18220.80657
370 18589.40281
375 18745.57119
380 18503.57
385 19066.69257
390 19055.94429
395 19270.0569
400 19447.19786
405 19377.9301
410 19634.54514
415 19643.9581
420 19952.09238
425 20356.88095
430 20498.89395
435 20363.82886
440 20840.83048
445 20732.64667
450 20932.09571
455 21013.83995
460 21013.29286
465 20411.64762
470 21251.53286
475 21636.40095
480 21648.62667
485 21673.55857
490 21723.09495
495 21893.31143
500 22157.82286
505 22183.2219
510 22629.17143
515 22061.35238
520 22167.66476
525 22429.40476
530 22691.83524
535 22845.15762
540 23565.9019
545 22939.55905
550 23009.82667
555 22987.17619
560 23384.85571
565 23103.78667
570 23557.7519
575 23377.42095
580 23445.95952
585 24075.34143
590 23258.6919
595 23406.85524
600 23830.72238
605 23767.52667
610 23853.17524
615 23328.77143
620 23775.53
625 24030.4919
630 23984.12762
635 24097.5281
640 24077.6781
645 23916.29429
650 24222.99095
655 24314.70286
660 24189.47524
665 24443.32524
670 24693.69238
675 23985.63286
680 24467.21571
685 24535.14048
690 24374.53095
695 24027.77143
700 24568.12714
705 24750.79571
710 24972.15619
715 24984.96667
720 25065.91238
725 25201.21619
730 24902.75143
735 25254.01667
740 25245.2919
745 25122.47143
750 25222.9681
755 25491.65667
760 24820.03381
765 25182.62905
770 25409.64952
775 25083.40095
780 25470.57619
785 24813.55
790 24537.94238
795 24838.92762
800 25052.48714
805 25281.26381
810 24825.63571
815 25022.16667
820 24849.67286
825 24915.3681
830 24857.51238
835 25167.4319
840 24914.87857
845 24584.3881
850 25177.28857
855 24812.63714
860 25274.29476
865 24506.09286
870 24859.81571
875 24739.75476
880 25088.05143
885 25377.32381
890 25203.18476
895 24985.39095
900 25554.32333
905 25379.86857
910 24963.79095
915 25117.70952
920 24603.57857
925 25189.05524
930 24882.42143
935 25012.79238
940 24722.15381
945 24989.18381
950 24781.80476
955 24538.95238
960 24616.19905
965 25127.8119
970 25118.7
975 24285.69952
980 25041.95095
985 25140.88476
990 24868.30143
995 25680.07619
1000 24912.42333
1005 24603.91381
1010 24808.94762
1015 24428.43905
1020 25158.64571
1025 25038.05952
1030 25231.6819
1035 24779.84
1040 25197
1045 25285.76
1050 24618.68381
1055 25391.76095
1060 25163.2
1065 24990.63286
1070 25063.61571
1075 25363.92667
1080 25339.88762
1085 25017.30571
1090 24972.98286
1095 24960.13571
1100 25173.37905
1105 24846.51952
1110 24716.03762
1115 25311.3319
1120 25338.19333
1125 25080.31
1130 25421.27857
1135 24880.33905
1140 25008.32762
1145 25061.59524
1150 24810.74048
1155 24787.26762
1160 25015.94143
1165 24358.37762
1170 24364.03095
1175 24805.95857
1180 24965.35857
1185 25286.17143
1190 24798.46857
1195 25430.31429
1200 25005.24476
1205 24426.5
1210 24831.15381
1215 25363.52381
1220 25194.22905
1225 24657.37095
1230 24829.54714
1235 24427.63286
1240 24778.9119
1245 24982.51762
1250 25570.04905
1255 24785.24381
1260 24932.07524
1265 24721.76857
1270 24481.30381
1275 24893.15429
1280 24310.84048
1285 24304.94381
1290 24162.28857
1295 24565.9019
1300 24355.96476
1305 25019.81952
1310 24244.26714
1315 24582.81381
1320 24501.94333
1325 24746.83667
1330 24916.25476
1335 24697.34333
1340 24465.18571
1345 24578.31524
1350 23681.34619
1355 24274.83381
1360 23948.77952
1365 24412.43381
1370 24109.33048
1375 23690.43524
1380 23574.14667
1385 24217.53
1390 23657.38095
1395 24548.90619
1400 24551.88524
1405 23323.00381
1410 23996.71
1415 24563.97905
1420 23838.16762
1425 23858.92714
1430 24125.90857
1435 23593.43619
1440 24123.35
1445 24376.16048
1450 23942.43476
1455 23510.96333
1460 24381.83333
1465 24336.70714
1470 24214.0119
1475 24174.02143
1480 23462.90286
1485 23707.60762
1490 23338.4781
1495 23522.2719
1500 23545.44571
1505 23962.92905
1510 23714.42952
1515 23910.38571
1520 23687.44667
1525 23986.33857
1530 23696.41286
1535 23159.4781
1540 23838.53619
1545 23938.37905
1550 22899.08429
1555 22927.41619
1560 23748.27429
1565 23417.44333
1570 23690.35905
1575 23474.73143
1580 23296.10619
1585 23760.1219
1590 23218.56429
1595 23218.36143
1600 23031.53429
1605 22831.53905
1610 23153.3881
1615 23368.55905
1620 22778.51476
1625 23738.97571
1630 23232.1819
1635 23189.55048
1640 23046.51476
1645 22988.3281
