FAN1 ffff00
0 0
5 598.3254167
10 714.1007083
15 879.770125
20 1683.365583
25 1740.570708
30 1766.484667
35 2338.009708
40 2790.989333
45 3293.136417
50 3415.744542
55 3620.854167
60 3388.367583
65 4020.418042
70 3983.721417
75 4197.361083
80 4426.674708
85 4523.175167
90 4361.967
95 4776.924042
100 4340.985958
105 4844.791875
110 4650.408375
115 4725.058
120 4505.875625
125 5225.502708
130 4921.652417
135 5183.959
140 5325.49375
145 5451.256292
150 5353.418833
155 5368.931083
160 5451.869833
165 5354.671583
170 5441.6465
175 5286.9825
180 5657.586
185 5168.784042
190 5699.704458
195 5712.433125
200 6182.593208
205 5743.809125
210 5439.18825
215 5954.017083
220 5983.625583
225 6204.204875
230 5835.053208
235 6040.372917
240 6231.436667
245 6156.691792
250 6354.485542
255 6599.722167
260 6634.260458
265 6501.129167
270 6936.779292
275 6971.33825
280 6621.61925
285 6761.954
290 6546.025208
295 6113.620375
300 7091.927
305 6947.417125
310 7201.65825
315 7031.64175
320 6964.012208
325 7219.029333
330 7460.7115
335 7017.364167
340 6815.682833
345 7361.517958
350 7175.961792
355 7310.161042
360 7306.230417
365 7347.866292
370 7051.48225
375 7201.178667
380 7193.660583
385 7666.567375
390 7533.501042
395 7632.342917
400 7702.087125
405 7897.093875
410 7625.92625
415 7859.515167
420 7832.729958
425 7834.165333
430 8029.963083
435 7790.990625
440 7919.065958
445 7900.126833
450 7784.723625
455 7887.528833
460 7748.898333
465 8289.8575
470 8128.655667
475 8342.716167
480 8595.525375
485 8243.900042
490 8472.8505
495 8813.977833
500 8600.8615
505 8472.348917
510 8327.418875
515 8623.154958
520 8973.599875
525 8717.289833
530 8869.301583
535 8851.374
540 8731.036625
545 8382.089667
550 8873.9435
555 8702.70475
560 9025.153917
565 9113.331167
570 8979.930875
575 8894.758542
580 8542.85875
585 8968.291042
590 8510.893458
595 9435.860833
600 9228.015375
605 9241.569583
610 9017.420708
615 9020.325042
620 9355.631
625 9197.992333
630 9935.149625
635 9459.169417
640 9294.309417
645 9744.012333
650 9497.346208
655 9698.33425
660 9728.037625
665 9843.066125
670 9554.9075
675 9593.912583
680 10292.365
685 9945.969333
690 9622.812875
695 10040.72975
700 9852.469042
705 9915.695667
710 9955.677333
715 9811.532542
720 10109.92433
725 10474.10979
730 10402.53408
735 10152.94725
740 10344.48283
745 10277.61608
750 10246.51075
755 10211.85371
760 10623.62171
765 10435.91542
770 10951.31192
775 10303.43542
780 10542.33392
785 10893.43829
790 10497.65888
795 10636.2855
800 10068.81454
805 10382.33733
810 10743.72367
815 10658.2565
820 10777.48858
825 10732.13892
830 10940.69696
835 11210.83883
840 10748.23296
845 10895.28288
850 10964.36092
855 11013.662
860 10629.92154
865 10943.37525
870 11337.72892
875 10998.71292
880 11018.24158
885 10922.74304
890 11288.31779
895 11211.67008
900 11115.49354
905 11244.48388
910 10961.01258
915 10853.5545
920 11504.13533
925 11047.01858
930 11003.21108
935 10523.31704
940 10984.43175
945 11652.61079
950 11100.46833
955 11561.71413
960 11076.73567
965 11166.5545
970 11107.11296
975 11514.21692
980 11367.2935
985 11565.32908
990 11473.22525
995 11327.60329
1000 11274.77367
1005 11319.65458
1010 11602.13979
1015 11264.00713
1020 11019.00933
1025 11158.50621
1030 11166.63663
1035 11271.45663
1040 11149.46275
1045 11102.35279
1050 11571.22288
1055 11376.12083
1060 10897.8175
1065 11086.42317
1070 11617.60408
1075 11532.90471
1080 11104.94158
1085 11789.32333
1090 11685.76446
1095 11738.45975
1100 11386.7575
1105 12039.1575
1110 11443.83775
1115 11621.26975
1120 11534.20188
1125 11694.86592
1130 11645.52608
1135 11552.54608
1140 11669.46392
1145 11400.33921
1150 11548.32929
1155 11804.01229
1160 11636.30208
1165 11828.70546
1170 11969.52429
1175 11704.78208
1180 11966.74671
1185 11464.50196
1190 11717.34096
1195 11786.81192
1200 11785.28696
1205 11760.20158
1210 11224.46892
1215 11688.38363
1220 11675.40967
1225 11540.43529
1230 11835.83388
1235 11747.03696
1240 12279.47033
1245 12057.99267
1250 12096.88554
1255 12541.39304
1260 11821.99138
1265 11549.13117
1270 11718.24896
1275 11963.56383
1280 12077.82988
1285 11960.60171
1290 11764.16763
1295 11727.64025
1300 11588.5675
1305 12178.94638
1310 11292.79867
1315 11898.75075
1320 11907.73621
1325 11762.51954
1330 11554.68271
1335 11862.72792
1340 11963.97371
1345 11878.68671
1350 11876.98975
1355 11704.27708
1360 11996.96438
1365 12001.64225
1370 11849.17329
1375 12201.00663
1380 11873.82321
1385 12133.36721
1390 11824.70317
1395 12440.64438
1400 11952.00267
1405 12240.82363
1410 12158.986
1415 12105.33975
1420 12401.69392
1425 12167.64921
1430 12281.29904
1435 12262.72667
1440 12451.13025
1445 12396.19779
1450 12393.04696
1455 12009.61992
1460 12037.29125
1465 12192.41921
1470 12099.8495
1475 12442.49392
1480 11794.02588
1485 12615.58
1490 12146.66846
1495 12464.53288
1500 12270.82938
1505 12313.967
1510 11944.27804
1515 12252.02354
1520 12622.55654
1525 12195.76113
1530 11966.41346
1535 12010.68513
1540 12146.98192
1545 12315.29229
1550 12081.17125
1555 11810.80233
1560 12273.02892
1565 11933.84071
1570 12462.42192
1575 12547.94821
1580 12155.69167
1585 11975.54358
1590 12413.78271
1595 12417.58429
1600 12690.03267
1605 12320.81929
1610 12316.80983
1615 11930.15375
1620 12146.28971
1625 12180.263
1630 12057.33229
1635 12069.89688
1640 12164.87517
1645 12189.00204
1650 12333.78638
1655 12087.48433
1660 12292.54792
1665 12326.35317
1670 11787.63288
1675 12333.28192
1680 11931.72017
1685 12112.56446
1690 11826.39967
1695 12302.16646
1700 11870.14079
1705 11576.45388
1710 11991.46396
1715 11953.24663
1720 12103.64954
1725 12005.92775
1730 11677.35767
1735 12114.63021
1740 12088.30117
1745 12093.62496
1750 12304.84267
1755 12183.40354
1760 12273.24225
1765 12288.33146
1770 12111.27829
1775 12074.39067
1780 11593.37396
1785 11816.30817
1790 11955.54292
1795 11513.52679
1800 12148.38988
1805 11896.04408
1810 11963.13483
1815 11728.213
1820 11933.95892
1825 12107.26925
1830 12318.58588
1835 11912.76663
1840 11918.49817
1845 12157.09838
1850 12127.70725
1855 11667.98796
1860 11748.04275
1865 12188.85413
1870 11717.69288
1875 11815.00083
1880 12071.3535
1885 11956.2195
1890 12168.28058
1895 11912.657
1900 12001.19758
1905 11917.57238
1910 12243.89967
1915 12301.49417
1920 12204.86808
1925 12033.6475
1930 11980.834
1935 11869.49692
1940 11647.931
1945 11536.10517
1950 12177.12008
1955 11856.64354
1960 11709.08042
1965 11907.34538
1970 11810.45004
1975 12095.89788
1980 11942.41946
1985 11848.80571
1990 11805.39279
1995 11704.31221
2000 12415.52863
2005 11606.18525
2010 11990.18296
2015 12112.25446
2020 12261.19796
2025 11991.20608
2030 12161.44317
2035 12077.00158
2040 11743.65654
2045 11790.76596
2050 11922.77717
2055 11788.30013
2060 12158.91
2065 11972.99296
2070 11970.90771
2075 12257.78613
2080 11544.70725
2085 11808.02429
2090 11432.44725
2095 12339.13892
2100 12444.3965
2105 11927.62546
2110 11861.03454
2115 11622.19208
2120 11859.33275
2125 11786.64892
2130 12134.08658
2135 11814.36692
2140 11505.64929
2145 11362.23946
2150 12096.04133
2155 11718.31942
2160 11466.81133
2165 11197.07663
2170 11670.08404
2175 11696.23542
2180 11228.11454
2185 11628.31088
2190 11694.33338
2195 11775.99779
2200 11774.32379
2205 11494.98904
2210 12189.68125
2215 11717.31471
2220 11785.79388
2225 11932.77958
2230 11769.01258
2235 11550.25154
2240 11867.49521
2245 11531.76425
2250 11795.55225
2255 11321.5745
2260 11400.94188
2265 11522.11746
2270 11719.38221
2275 11795.42429
2280 11756.45742
2285 11910.54496
2290 11599.04304
2295 12065.66271
2300 11339.21233
2305 11265.21013
2310 11554.99333
2315 11515.82083
2320 11416.28392
2325 11371.43842
2330 11886.05821
2335 11988.34446
2340 11856.74021
2345 11718.36442
2350 11789.20388
2355 11669.98196
2360 11902.50496
2365 11554.55325
2370 11647.90888
2375 11538.51546
2380 11316.29754
2385 11636.503
2390 11586.61017
2395 11578.38742
2400 11621.65142
2405 11391.80388
2410 11613.29617
2415 11418.12413
2420 11884.38658
2425 11481.70258
2430 11428.93263
2435 11721.48975
2440 11405.12138
2445 10877.01171
2450 11450.58104
2455 11401.77383
2460 11152.73367
2465 11634.89767
2470 11458.95975
2475 11375.62458
2480 11367.28317
2485 11179.48746
2490 11211.45967
2495 10923.43729
2500 11356.67675
2505 11134.06858
2510 11358.27983
2515 11140.92125
2520 11241.82479
2525 11249.06283
2530 10934.03825
2535 10975.24279
2540 10887.13621
2545 11092.69258
2550 11075.32967
2555 11160.17775
2560 11107.83133
2565 10905.26446
2570 11093.63975
2575 11112.88313
2580 11131.16929
2585 11383.38746
2590 10854.23458
2595 11002.71308
2600 10855.91879
2605 10815.02967
2610 10508.63854
2615 10984.59679
2620 10982.88196
2625 10765.42408
2630 10885.32917
2635 10629.98233
2640 10739.752
2645 10929.92496
2650 10708.10121
2655 10710.30758
2660 11094.88675
2665 10296.57471
2670 10694.09454
2675 10635.33229
2680 10675.43613
2685 10621.278
2690 10705.44075
2695 11073.49671
2700 10104.21029
2705 10424.38713
2710 10870.47621
2715 10417.042
2720 10473.77525
2725 10222.70579
2730 10645.31188
2735 10721.07583
2740 10156.84288
2745 10470.21321
2750 10236.95163
2755 10360.72771
2760 10225.86433
2765 10231.77563
2770 10553.33554
2775 10387.59592
2780 10229.63388
2785 10481.35267
2790 10275.60221
2795 10341.09446
2800 10533.94071
2805 10741.96708
2810 10089.07108
2815 10571.46283
2820 10062.32733
2825 10422.25346
2830 10038.64654
2835 10264.52529
2840 10566.69863
2845 10301.98908
2850 10341.49542
2855 10602.69196
2860 10387.41517
2865 10365.67371
2870 10514.53733
2875 10331.49442
2880 9994.923333
2885 10482.95321
2890 9915.531625
2895 10278.87258
2900 10289.39542
2905 10359.47525
2910 10447.70508
2915 10272.06267
2920 10489.10483
2925 9998.241625
2930 10220.19829
2935 10182.05733
2940 10808.61417
2945 10787.25921
2950 10400.78958
2955 10232.70029
2960 10128.28288
2965 10060.8645
2970 10567.07283
2975 10256.17967
2980 10309.4405
2985 10266.91304
2990 10174.29129
2995 10151.63188
3000 10247.22971
3005 9958.85625
3010 9984.011375
3015 9612.267708
3020 10368.57388
3025 10137.40646
3030 9829.706958
3035 10219.93875
3040 9926.4415
3045 9948.511958
3050 10193.0305
3055 10355.16554
3060 9804.629875
3065 10124.14354
3070 10574.94108
3075 10141.22629
3080 10518.29296
3085 10221.12738
3090 10061.28975
3095 10511.10867
3100 10373.12829
3105 10146.68583
3110 10119.24996
3115 10015.81742
3120 9745.180125
3125 10106.67358
3130 10492.81504
3135 9966.406333
3140 9970.240792
3145 9926.816
3150 10049.41463
3155 10230.5865
3160 9973.632583
3165 9874.709
3170 9549.525625
3175 9667.565708
3180 9606.227
3185 10014.61058
3190 10023.19454
3195 10025.89963
3200 10262.523
3205 10123.53613
3210 9895.719083
3215 10327.54983
3220 10234.72842
3225 10284.74071
3230 9877.433625
3235 10239.87067
3240 10002.1625
3245 10021.60138
3250 10162.56092
3255 10013.22721
3260 9876.949292
3265 9966.260125
3270 10150.26021
3275 10217.97429
3280 9852.129042
3285 10117.44746
3290 10107.21379
3295 9977.391958
3300 10220.23821
3305 9683.544083
3310 10157.23967
3315 9609.702208
3320 9496.912417
3325 10192.94667
3330 9967.551583
3335 9652.945875
3340 10075.55967
3345 9802.321
3350 9629.071042
3355 9423.301208
3360 9564.412625
3365 9446.616
3370 9522.392333
3375 10171.66396
3380 9444.641
3385 9475.015792
3390 9848.921375
3395 9901.465792
3400 10031.06608
3405 9249.439042
3410 9647.109125
3415 9476.639
3420 9735.338542
3425 9659.248417
3430 9498.252292
3435 9574.790125
3440 9376.200333
3445 10107.84833
3450 9888.420667
3455 9580.373167
3460 9859.081375
3465 9767.55375
3470 9560.928583
3475 9320.2485
3480 9681.935625
3485 10059.23529
3490 9613.892292
3495 9411.97125
3500 9845.939583
3505 9556.904083
3510 9492.357917
3515 9768.749708
3520 9348.997125
3525 9911.949042
3530 10053.78779
3535 9585.172458
3540 9463.31925
3545 9198.237917
3550 9399.236667
3555 9692.386417
3560 9257.459125
3565 9771.237042
3570 9491.926292
3575 9788.032667
3580 10001.28517
3585 9443.341208
3590 9524.599208
3595 9568.934583
3600 9508.684875
