FAN1_I ed5d00
0 0
5 10.66577778
10 187.852037
15 523.3246296
20 533.8051481
25 613.4658519
30 564.6594444
35 980.8577407
40 648.0514074
45 1263.651
50 1121.464667
55 1531.622963
60 1710.472852
65 1813.765037
70 1474.133444
75 2112.006556
80 2221.93563
85 2237.798111
90 2428.173333
95 2443.098296
100 2762.524741
105 2910.583852
110 3397.944259
115 3407.832963
120 3219.972
125 3735.249704
130 3666.651593
135 4194.363741
140 4073.174111
145 4016.865556
150 4258.064407
155 4569.796815
160 4482.834111
165 4908.35063
170 4961.027741
175 5040.060185
180 5090.687815
185 5275.519852
190 5413.690074
195 5584.396556
200 5354.797593
205 5653.843148
210 5734.540407
215 5991.787259
220 6061.222852
225 6265.886333
230 6257.225444
235 6613.046333
240 6468.396037
245 6569.973333
250 6830.988815
255 6870.479556
260 6895.937778
265 7399.604704
270 7174.027407
275 7538.235222
280 7643.700333
285 7594.306259
290 7580.611852
295 7449.246926
300 7561.138852
305 7798.292
310 7897.454593
315 8110.158037
320 8173.933556
325 8378.232556
330 8522.352704
335 8414.87437
340 8735.400444
345 8534.374778
350 8726.207926
355 8828.708222
360 9045.18163
365 9184.904519
370 9270.319852
375 8907.685407
380 9262.205741
385 9151.603926
390 9482.721296
395 9673.105222
400 9513.080778
405 9723.878074
410 9934.498148
415 9994.69063
420 9681.048667
425 9470.483407
430 9906.676
435 10058.42381
440 9831.118481
445 10435.36393
450 10529.66411
455 10135.53744
460 10491.34852
465 10102.46478
470 10558.05333
475 10407.99956
480 10363.07233
485 10468.02722
490 10668.47415
495 10427.10374
500 10668.818
505 10856.24415
510 10824.92281
515 10707.91222
520 10776.37044
525 10811.41074
530 10940.02693
535 10966.47259
540 10864.82448
545 11232.24915
550 10984.46926
555 10974.06981
560 11188.86
565 11161.04333
570 11059.84085
575 11070.71048
580 11465.42122
585 11149.07252
590 11127.99867
595 11660.40341
600 11842.21274
605 11681.16722
610 11757.42315
615 11534.45681
620 11782.9977
625 11665.88919
630 11941.35896
635 11646.26496
640 11828.86007
645 11515.57152
650 11847.00856
655 11893.76374
660 11779.52233
665 11946.32193
670 11700.38281
675 11891.135
680 11944.15196
685 11567.27267
690 11753.792
695 11771.32678
700 12072.20641
705 11758.50389
710 11871.08759
715 11721.57415
720 11721.89633
725 11713.53752
730 11566.17152
735 12164.25659
740 12185.87252
745 12339.89148
750 12309.16559
755 12162.94141
760 12467.26233
765 12430.89722
770 12652.0373
775 12595.28759
780 12351.40837
785 12562.88733
790 12894.56693
795 12429.89467
800 12603.82307
805 12628.4087
810 12751.93856
815 12915.62989
820 12646.3997
825 12422.07133
830 12851.66441
835 12837.85893
840 12866.55167
845 12680.26589
850 12539.01556
855 12470.56615
860 12738.979
865 12627.09252
870 12734.09711
875 12807.45485
880 12707.69415
885 12718.36
890 12374.73574
895 12425.63052
900 12686.23967
905 12701.20659
910 12595.80096
915 13114.44767
920 13052.27656
925 12632.80848
930 12459.58607
935 12717.45574
940 12762.88578
945 12857.02848
950 13030.06293
955 12874.49
960 12649.93859
965 12865.41907
970 12722.76341
975 12861.77085
980 12901.5193
985 12641.33744
990 12702.18167
995 12957.88341
1000 13054.46537
1005 12810.03348
1010 13209.80774
1015 13122.69781
1020 12647.36144
1025 12890.51211
1030 12969.82278
1035 13164.45048
1040 12716.11893
1045 13005.25204
1050 12763.70844
1055 12982.42115
1060 12716.06819
1065 12778.99722
1070 12860.84756
1075 13159.91893
1080 12585.77274
1085 12960.46833
1090 12934.40222
1095 13050.2957
1100 13046.84659
1105 12895.24767
1110 13034.05089
1115 12707.97974
1120 13046.21726
1125 12715.28774
1130 12735.84911
1135 12838.87678
1140 12248.08563
1145 12868.55315
1150 12735.65519
1155 12870.67667
1160 13050.91933
1165 12881.41533
1170 13035.14452
1175 12860.7567
1180 12883.86367
1185 13336.49585
1190 12816.09315
1195 12928.55359
1200 12913.36796
