PCNA	f4b183
0	0
5	4688.584635
10	11155.29424
15	17000.50755
20	25914.90298
25	31642.87252
30	36063.55628
35	41174.4608
40	45501.48649
45	50919.51399
50	52808.21187
55	55987.61414
60	59367.50625
65	61562.67293
70	64733.39818
75	64308.25597
80	64584.53458
85	67900.16897
90	67628.78571
95	66671.85048
100	67900.92302
105	66479.87635
110	70617.33504
115	71328.06532
120	68754.74148
125	70064.60227
130	69769.91789
135	67112.41987
140	71172.68401
145	71464.92611
150	70102.68211
155	70757.56461
160	70366.74016
165	70598.21069
170	70131.82713
175	69760.06231
180	69587.77434
185	67478.42905
190	68708.40406
195	70122.92943
200	67762.98535
205	70993.84581
210	71517.4579
215	70449.01264
220	67175.29992
225	69156.60693
230	68023.19013
235	67514.61976
240	68225.50533
245	66337.53796
250	68250.70374
255	65250.22891
260	65165.99081
265	66038.72765
270	65549.44853
275	64196.77635
280	65331.55348
285	65378.93052
290	65866.4557
295	64449.98399
300	63201.86655
305	61744.1311
310	61205.71838
315	61773.25716
320	61127.66271
325	64057.5761
330	61470.05219
335	61426.77052
340	59187.31688
345	59087.18099
350	59203.50545
355	59121.81015
360	59692.44834
365	57853.22324
370	58615.46761
375	56088.32509
380	56647.13176
385	56443.24716
390	55395.59111
395	56097.40848
400	56969.24155
405	55135.08556
410	54804.83718
415	53795.74628
420	53703.3807
425	51597.91566
430	53165.16038
435	52478.81316
440	51633.40055
445	51599.27452
450	49776.44772
455	51620.75402
460	50935.77416
465	50440.54161
470	49040.45021
475	48891.33226
480	47500.24416
485	48025.58438
490	48780.45254
495	47758.37805
500	47192.56492
505	47181.98716
510	46920.04234
515	46073.39052
520	46178.29458
525	44903.61513
530	44650.49003
535	45028.274
540	45091.96875
545	45026.63007
550	44818.26319
555	43047.34884
560	44158.40639
565	44091.92495
570	43065.66928
575	43079.17921
580	41486.21726
585	42542.33654
590	40631.51987
595	42020.54671
600	40986.93331
605	42256.76433
610	38902.96297
615	39527.14102
620	39643.77442
625	40012.66919
630	39872.40415
635	38433.62844
640	38467.73061
645	38474.07896
650	37883.31752
655	36879.86015
660	37763.53846
665	36641.61774
670	37044.65309
675	38561.00781
680	37665.24446
685	35584.6586
690	36910.55709
695	36546.58513
700	36120.60043
705	35611.05616
710	36125.74571
715	34398.68514
720	35369.73413
725	35176.17263
730	36897.157
735	34393.05095
740	34064.96158
745	35629.32789
750	35376.5155
755	33789.66848
760	33833.23768
765	34028.71153
770	32548.47543
775	34930.71338
780	32262.15931
785	32565.4514
790	32147.37825
795	33629.00508
800	30956.74663
805	31593.40661
810	33076.52927
815	33317.59499
820	33213.4525
825	31873.33008
830	31602.74892
835	31587.09029
840	30697.84808
845	31186.62178
850	32233.04011
855	30303.18834
860	30847.69098
865	30201.2091
870	30500.66753
875	30435.11291
880	31239.81151
885	30323.68282
890	29715.60638
895	30844.15743
900	29812.59596
905	29988.58438
910	30127.88417
915	29314.1218
920	29606.25797
925	29064.31383
930	28453.76553
935	28737.40513
940	29591.20414
945	27987.55933
950	27503.77022
955	28762.55157
960	29767.31908
965	28419.81064
970	27541.91332
975	27798.4067
980	28160.37283
985	28784.07275
990	28340.30851
995	26683.13429
1000	27514.15673
1005	25874.5646
1010	26471.64072
1015	27253.09541
1020	27148.3504
1025	26571.73917
1030	27377.86675
1035	27222.96782
1040	27450.96757
1045	25120.10966
1050	24430.3734
1055	27005.92865
1060	25118.4417
1065	23391.28338
1070	24560.59651
1075	25369.50293
1080	25682.83369
1085	24984.4155
1090	26188.37283
1095	24371.68989
1100	25518.36817
1105	25945.10038
1110	23890.13171
1115	24209.2902
1120	25087.59177
1125	25332.59446
