RPA1_I	ffb84d
0	0
5	866.5309333
10	62.45293333
15	1062.099333
20	673.0090667
25	1262.478667
30	-264.4304
35	-139.8708
40	1049.1512
45	1453.319067
50	1137.835467
55	53.41666667
60	1037.2672
65	2007.953733
70	1298.075867
75	808.1629333
80	1753.193067
85	273.9274667
90	2526.1432
95	2479.876933
100	512.4316
105	2403.5584
110	1591.135333
115	1788.0916
120	2186.4748
125	2241.658
130	1870.369333
135	2087.031067
140	3568.1648
145	3242.182667
150	1511.1836
155	3852.691867
160	1811.488
165	1517.841067
170	2326.596133
175	2023.1724
180	2506.7004
185	2927.501067
190	2200.179067
195	1727.5864
200	2206.796133
205	1796.578667
210	1713.8332
215	2900.8696
220	2532.124533
225	3049.952133
230	4028.400533
235	2743.6516
240	3631.939467
245	3390.4784
250	3702.868267
255	3490.373333
260	4188.7008
265	4377.3936
270	3896.6708
275	3981.6836
280	4708.108667
285	4226.275333
290	3970.924
295	4823.189333
300	4590.2008
305	4640.193867
310	4672.0244
315	4774.408667
320	4870.921067
325	4544.521467
330	4925.227867
335	6343.0124
340	5123.2432
345	7408.298667
350	7533.787067
355	6408.4572
360	8249.990933
365	6875.515333
370	8527.704667
375	7986.660933
380	8352.140133
385	7785.971467
390	7990.197467
395	8177.6144
400	10203.5636
405	7390.949867
410	9293.382533
415	10134.888
420	9553.467733
425	9775.4168
430	10570.3752
435	11147.7264
440	10851.58653
445	9115.853733
450	11237.10227
455	11563.71173
460	11803.9664
465	11265.9604
470	12865.3508
475	12788.1112
480	13782.11187
485	14517.41467
490	14527.56733
495	14146.42013
500	14546.16773
505	14221.37133
510	14427.8076
515	15067.14027
520	15171.12267
525	16094.81853
530	15235.8772
535	17056.28187
540	17891.48347
545	17368.20773
550	18948.4172
555	18103.64987
560	18278.1084
565	19350.242
570	19367.09533
575	19991.28307
580	20562.1136
585	21639.8236
590	21830.1072
595	22214.0088
600	22372.6564
605	23010.2176
610	22186.6016
615	24320.92173
620	24935.22573
625	24629.652
